name,city,statenam,state,year,sworn,civil,elecyear,governor,murder,rape,robbery,assault,burglary,larceny,auto,rincpc,econgrow,unemp,citypop,term2,term3,term4,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,termlim,jid,mayor,date_wa,date_my,web
honolulu,18,hi,11,1985,1639,344,0,0,36,248,965,552,8989,28837,2421,,,.0562499761581421,817083,0,0,1,.0774505734443665,.071803092956543,.0698171854019165,.0782573223114014,.103546679019928,.0978372097015381,1.25,10.84999847412109,646.1318359375,255.7974853515625,1.07599925994873,0,44,0,Nov-88,.,0
honolulu,18,hi,11,1986,1605,355,0,1,46,241,1052,737,10675,30846,2858,,,.048829972743988,823306,0,0,1,.0771313905715942,.0713951587677002,.0684900879859924,.0758019685745239,.1009748578071594,.0974543690681458,1.25999927520752,10.87999725341797,691.16650390625,242.6800537109375,1.095999717712402,0,44,0,Nov-88,.,0
honolulu,18,hi,11,1987,1683,369,0,0,36,322,985,915,9136,34239,3316,,,.0388299822807312,832614,0,0,1,.0768173933029175,.0709938406944275,.0671846866607666,.0733867287635803,.0984451770782471,.0970777869224548,1.269999504089355,10.90999603271484,667.93994140625,251.3927001953125,1.13599967956543,0,44,0,Nov-88,.,0
honolulu,18,hi,11,1988,1706,378,1,0,28,283,833,1042,9811,34227,3245,,,.0308299958705902,838656,0,0,1,.0765085220336914,.0705990195274353,.0659005045890808,.0710107684135437,.095956563949585,.0967073440551758,1.279999732971191,10.93999481201172,681.0283203125,244.4915771484375,1.182999610900879,0,44,1,Nov-92,.,0
honolulu,18,hi,11,1989,1761,424,0,0,43,412,815,1027,10685,36325,3602,,,.0247499942779541,848959,0,0,1,.0762046575546265,.0702106356620789,.0646370053291321,.0686730742454529,.0935080647468567,.096342921257019,1.289999961853027,10.96999359130859,716.93505859375,259.67724609375,1.239999771118164,0,44,0,Nov-92,.,0
honolulu,18,hi,11,1990,1827,430,0,1,34,278,889,1211,9785,35514,3317,,,.0278299897909164,836231,0,0,1,.0759056210517883,.0698283910751343,.0633936524391174,.0663726925849915,.0910986065864563,.0959842205047607,1.299999237060547,11,768.93603515625,296.863037109375,1.306999206542969,0,44,0,Nov-92,.,0
honolulu,18,hi,11,1991,1887,425,0,0,29,275,860,894,9905,36019,3050,,,.0279999971389771,856432,0,0,1,.0756112933158875,.0694522261619568,.0621700882911682,.0641088485717773,.0887274146080017,.0956313014030457,1.309999465942383,11.02999877929688,825.091796875,307.010986328125,,0,44,0,Nov-92,.,0
honolulu,18,hi,11,1992,1936,438,1,0,31,326,1013,1012,9106,38563,3507,,,.0449999868869781,875297,0,0,1,.0753216147422791,.0690819621086121,.0609657168388367,.0618805587291718,.0863935351371765,.0952838659286499,1.319999694824219,11.05999755859375,881.24755859375,317.158935546875,,0,44,1,Nov-93,.,0
houston,19,tx,43,1973,2184,334,1,0,263,557,6265,1909,28462,32935,12035,10.47972869873047,.0521349906921387,.0388299822807312,1312000,1,0,0,.091150164604187,.0983502268791199,.0977703928947449,.0910577178001404,.0921988487243652,.0924945473670959,25.989990234375,11.98999786376953,646.39599609375,150.90087890625,.4440000057220459,0,109,1,Jan-74,.,0
houston,19,tx,43,1974,2332,460,0,1,330,520,7245,1602,33160,35400,12834,10.45233154296875,-.0026178359985352,.0429199934005737,1325000,1,0,0,.0900052189826965,.0957493782043457,.095087468624115,.0905383229255676,.0942522287368774,.0957271456718445,26.21998596191406,11.91999816894531,636.91650390625,135.902587890625,.492999792098999,0,109,0,Jan-76,.,0
houston,19,tx,43,1975,2598,447,1,0,347,588,6422,1567,30968,39309,13006,10.60408782958984,.0144145488739014,.0557499825954437,1372342,1,0,0,.0889449715614319,.0933408737182617,.0926028490066528,.0900573134422302,.0961537957191467,.0987207889556885,26.44999694824219,11.84999847412109,674.72119140625,135.6876220703125,.5379996299743652,0,109,1,.,.,0
houston,19,tx,43,1976,2737,589,0,0,321,690,5531,1503,30302,55845,12091,11.0931396484375,.0450878143310547,.0574199855327606,1477000,1,0,0,.0879603028297424,.0911040902137756,.0902954339981079,.0896105766296387,.097919762134552,.101500928401947,26.67999267578125,11.77999877929688,750.43896484375,152.8997802734375,.5689997673034668,0,109,0,Jan-78,.,0
